source,target,value
Limerick,A Young Lady of Lynn by Anonymous//171641
Water,Crossing the Atlantic by Anne Sexton//171279
Water,To the Harbormaster by Frank O'Hara//171373
Water,New Netherland, 1654 by Grace Schulman//171378
Water,I Only Am Escaped Alone to Tell Thee by Howard Nemerov//171403
Water,The Goose Fish by Howard Nemerov//171416
Water,The Lifeguard by James L. Dickey//171432
Water,At Darien Bridge by James L. Dickey//171436
Water,Away above a Harborful . . . by Lawrence Ferlinghetti//171596
Water,Wynken, Blynken, and Nod by Eugene Field//171653
Water,Skin Cancer by Mark Jarman//171672
Water,Lines for a Prologue by Archibald MacLeish//171742
Water,The Rock in the Sea by Archibald MacLeish//171749
Water,For C. by Richard Wilbur//171779
Water,Looking into History by Richard Wilbur//171795
Water,Interior at Petworth: From Turner by Rosanna Warren//171802
Water,Elegy in an Abandoned Boatyard by Dave Smith//171810
Water,Near the Docks by Dave Smith//171816
Water,Corsons Inlet by A. R. Ammons//171818
Water,Middle Passage by Robert Hayden//171823
Water,Together by Maxine W. Kumin//171843
Water,Running Away Together by Maxine W. Kumin//171844
Water,Rhode Island by William Meredith//171851
Water,The Wreck of the Thresher by William Meredith//171861
Water,The Way to the River by W. S. Merwin//171866
Water,Conches on Christmas by Mike Chasar//171983
Water,Repose of Rivers by Hart Crane//172019
Water,Voyages by Hart Crane//172022
Water,from The Bridge: Southern Cross by Hart Crane//172032
Water,Byzantium by William Butler Yeats//172068
Water,My Olson Elegy by Irving Feldman//172150
Water,Six Sailors by Irving Feldman//172152
Water,The Idea of Order at Key West by Wallace Stevens//172206
Water,Ocean City: Early March by Elizabeth Spires//172253
Water,Glass-Bottom Boat by Elizabeth Spires//172255
Water,Cadmus and Harmonia by Matthew Arnold//172842
Water,Dover Beach by Matthew Arnold//172844
Water,The Forsaken Merman by Matthew Arnold//172845
Water,The Future by Matthew Arnold//172846
Water,Mycerinus by Matthew Arnold//172852
Water,Palladium by Matthew Arnold//172854
Water,Self-Dependence by Matthew Arnold//172858
Water,The Scholar-Gipsy by Matthew Arnold//172862
Water,To Marguerite: Continued by Matthew Arnold//172865
Water,Song: Memory, hither come by William Blake//172941
Water,To the Muses by William Blake//172944
Water,Home-Thoughts, from the Sea by Robert Browning//173015
Water,Meeting at Night by Robert Browning//173022
Water,Over the Sea our Galleys Went by Robert Browning//173027
Water,Parting at Morning by Robert Browning//173028
Water,Afton Water by Robert Burns//173055
Water,From Lines to William Simson by Robert Burns//173062
Water,Lines to Mr. Hodgson Written on Board the Lisbon Packet by Lord Byron (George Gordon)//173095
Water,Stanzas for Music by Lord Byron (George Gordon)//173102
Water,The Walrus and the Carpenter by Lewis Carroll//173170
Water,A Leak in the Dike by Phoebe Cary//173173
Water,Fragment 1: Sea-ward, white gleaming thro' the busy scud by Samuel Taylor Coleridge//173231
Water,Fragment 4: As some vast Tropic tree, itself a wood by Samuel Taylor Coleridge//173234
Water,Fragment 6: The Moon, how definite its orb! by Samuel Taylor Coleridge//173236
Water,Fragment 9: The Netherlands by Samuel Taylor Coleridge//173239
Water,France: An Ode by Samuel Taylor Coleridge//173241
Water,Hymn before Sun-rise, in the Vale of Chamouni by Samuel Taylor Coleridge//173244
Water,Inscription for a Fountain on a Heath by Samuel Taylor Coleridge//173245
Water,Kubla Khan by Samuel Taylor Coleridge//173247
Water,This Lime-tree Bower my Prison by Samuel Taylor Coleridge//173248
Water,Youth and Age by Samuel Taylor Coleridge//173256
Water,The Castaway by William Cowper//173283
Water,On the Loss of the Royal George by William Cowper//173285
Water,On Receipt Of My Mother's Picture by William Cowper//173287
Water,from The Task, Book I: The Sofa by William Cowper//173291
Water,The Bait by John Donne//173350
Water,The Calm by John Donne//173352
Water,Ships that Pass in the Night by Paul Laurence Dunbar//173464
Water,Old Folks at Home by Stephen C. Foster//173522
Water,The Tuft of Flowers by Robert Frost//173540
Water,Man by George Herbert//173633
Water,The Chambered Nautilus by Oliver Wendell Holmes Sr.//173644
Water,The Two Streams by Oliver Wendell Holmes Sr.//173650
Water,The Wreck of the Deutschland by Gerard Manley Hopkins//173668
Water,The Negro Speaks of Rivers by Langston Hughes//173693
Water,A Thought of the Nile by Leigh Hunt//173702
Water,Ode to Psyche by John Keats//173745
Water,On First Looking into Chapman's Homer by John Keats//173746
Water,The Building of the Ship by Henry Wadsworth Longfellow//173892
Water,The Fire of Drift-wood by Henry Wadsworth Longfellow//173898
Water,The Jewish Cemetery at Newport by Henry Wadsworth Longfellow//173900
Water,Milton by Henry Wadsworth Longfellow//173904
Water,My Lost Youth by Henry Wadsworth Longfellow//173906
Water,Seaweed by Henry Wadsworth Longfellow//173911
Water,Sir Humphrey Gilbert by Henry Wadsworth Longfellow//173913
Water,The Skeleton in Armor by Henry Wadsworth Longfellow//173914
Water,The Tide Rises, the Tide Falls by Henry Wadsworth Longfellow//173917
Water,Ultima Thule: Dedication to G. W. G. by Henry Wadsworth Longfellow//173918
Water,The Witnesses by Henry Wadsworth Longfellow//173919
Water,The Wreck of the Hesperus by Henry Wadsworth Longfellow//173920
Water,Bermudas by Andrew Marvell//173943
Water,The Character of Holland by Andrew Marvell//173944
Water,Annabel Lee by Edgar Allan Poe//174151
Water,The Seafarer by Ezra Pound//174183
Water,A Barefoot Boy by James Whitcomb Riley//174216
Water,The Mill by Edwin Arlington Robinson//174243
Water,The Cloud Confines by Dante Gabriel Rossetti//174273
Water,The House of Life: 73. The Choice, III by Dante Gabriel Rossetti//174282
Water,from Epipsychidion by Percy Bysshe Shelley//174386
Water,The Question by Percy Bysshe Shelley//174405
Water,Stanzas Written in Dejection, near Naples by Percy Bysshe Shelley//174407
Water,Time by Percy Bysshe Shelley//174408
Water,Prothalamion by Edmund Spenser//174484
Water,A Channel Crossing by Algernon Charles Swinburne//174546
Water,A Forsaken Garden by Algernon Charles Swinburne//174554
Water,Hendecasyllabics by Algernon Charles Swinburne//174556
Water,In the Bay by Algernon Charles Swinburne//174560
Water,A Swimmer's Dream by Algernon Charles Swinburne//174572
Water,The Triumph of Time by Algernon Charles Swinburne//174574
Water,Break, Break, Break by Alfred, Lord Tennyson//174585
Water,Crossing the Bar by Alfred, Lord Tennyson//174588
Water,In Memoriam A. H. H. OBIIT MDCCCXXXIII: 15 by Alfred, Lord Tennyson//174601
Water,from The Princess: Now Sleeps the Crimson Petal by Alfred, Lord Tennyson//174647
Water,from The Princess: Sweet and Low by Alfred, Lord Tennyson//174650
Water,Ulysses by Alfred, Lord Tennyson//174659
Water,The Water-fall by Henry Vaughan//174700
Water,To the King on his Navy by Edmund Waller//174706
Water,How We Heard the Name by Alan Dugan//17473
Water,Crossing Brooklyn Ferry by Walt Whitman//174738
Water,On the Beach at Night by Walt Whitman//174743
Water,Patroling Barnegat by Walt Whitman//174744
Water,The World Below the Brine by Walt Whitman//174749
Water,Dedication for a Plot of Ground by William Carlos Williams//174767
Water,Composed upon Westminster Bridge, September 3, 1802 by William Wordsworth//174783
Water,Elegiac Stanzas Suggested by a Picture of Peele Castle in a Storm, Painted by Sir George Beaumont by William Wordsworth//174785
Water,from The Prelude: Book 1: Childhood and School-time by William Wordsworth//174811
Water,Sonnets from The River Duddon: After-Thought by William Wordsworth//174825
Water,Yarrow Revisited by William Wordsworth//174835
Water,Yarrow Visited. September, 1814 by William Wordsworth//174836
Water,Yarrow Unvisited by William Wordsworth//174837
Water,My Galley, Charged with Forgetfulness by Sir Thomas Wyatt//174853
Water,On the Seashore by Rabindranath Tagore//174939
Water,The Famous Tay Whale by Knight of the White Elephant of Burmah William McGonagall//175099
Water,The Song of the Wreck by Charles Dickens//175132
Water,Each and All by Ralph Waldo Emerson//175147
Water,Tom Deadlight (1810) by Herman Melville//175178
Water,The Maldive Shark by Herman Melville//175179
Water,The Berg (A Dream) by Herman Melville//175180
Water,The Evening Darkens Over by Robert Bridges//175251
Water,Cape Cod by George Santayana//175271
Water,To. W. P. by George Santayana//175272
Water,One With The Sun by A. F. Moritz//175445
Water,Niagara by Adelaide Crapsey//175529
Water,Passage over Water by Robert Duncan//175590
Water,Styx by Robert Duncan//175594
Water,Image of the Engine by George Oppen//175675
Water,Speckled Trout by Ron Rash//175715
Water,Since There Is No Escape by Sara Teasdale//175763
Water,To You by Kevin A. Gonzalez//175806
Water,Buckroe, After the Season, 1942 by Virginia Hamilton Adair//175844
Water,The Little Waves of Breffny by Eva Gore-Booth//175850
Water,Old Ironsides by Oliver Wendell Holmes Sr.//175883
Water,Itinerary by James McMichael//175892
Water,The Israeli Navy by Marvin Bell//175933
Water,Ultima Thule by Linda Bierds//176041
Water,White Head by Sophie Jewett//176143
Water,The Bell Buoy by Rudyard Kipling//176151
Water,Song by Thomas James Merton//176238
Water,Place Names by Thomas James Merton//176249
Water,Drake in the Southern Sea by Ernesto Cardenal//176257
Water,Thread by Jonathan Galassi//176259
Water,Loiter by Forrest Gander//176269
Water,With Emma at the Ladies-Only Swimming Pond on Hampstead Heath by Linda Gregerson//176288
Water,Vermeer by Debora Greger//176406
Water,Five Visions of Captain Cook by Kenneth Slessor//176476
Water,The Lobster by Carl Rakosi//176500
Water,Shore Line by Carl Rakosi//176503
Water,Prayer by Jorie Graham//176600
Water,Skin Canoes by Carolyn Forche//176617
Water,Kalaloch by Carolyn Forche//176619
Water,Tiare Tahiti by Rupert Brooke//176644
Water,At Lulworth Cove a Century Back by Thomas Hardy//176677
Water,The Convergence of the Twain by Thomas Hardy//176678
Water,Voices of the Air by Katherine Mansfield//176817
Water,The Sailor's Grave at Clo-oose, V.I. by Marjorie Pickthall//176834
Water,Maximus, to himself by Charles Olson//176948
Water,I, Maximus of Gloucester, to You by Charles Olson//176950
Water,Maximus, to Gloucester: Letter 2 by Charles Olson//176951
Water,The Shore by David St. John//176971
Water,He Said Turn Here by Dean Young//177134
Water,The River Now by Richard Hugo//177194
Water,Stone Gullets by May Swenson//177224
Water,In Response to a Rumor That the Oldest Whorehouse in Wheeling, West Virginia Has Been Condemned by James Wright//177230
Water,Youth by James Wright//177238
Water,Burning Island by Gary Snyder//177251
Water,The Fable by Yvor Winters//177273
Water,The Slow Pacific Swell by Yvor Winters//177274
Water,On a View of Pasadena from the Hills by Yvor Winters//177275
Water,Two Views of Buson by Robert Hass//177307
Water,Floating Houses by David Wojahn//177324
Water,Ghost Supper by David Wojahn//177329
Water,The Truth by Carl Phillips//177366
Water,Lepanto by G. K. Chesterton//177439
Water,The Homecoming by Barbara Howes//177444
Water,Oystering by Richard Howard//177447
Water,Leda by H. D.//177449
Water,Confluence by Yusef Komunyakaa//177462
Water,Shore Scene by John Logan//177552
Water,Lines on Locks (or Jail and the Erie Canal) by John Logan//177554
Water,Middle-Aged Midwesterner at Waikiki Again by John Logan//177555
Water,Grace by John Logan//177556
Water,The Squaw Trade by G. E. Murray//177587
Water,The Saint and the Crab by William Logan//177599
Water,Damselfly, Trout, Heron by John Engels//177648
Water,Patience by Katherine Larson//177726
Water,Oread by H. D.//177767
Water,Sea Poppies by H. D.//177768
Water,Sea Rose by H. D.//177769
Water,Wash of Cold River by H. D.//177771
Water,The Schooner Flight by Derek Walcott//177932
Water,Where the Blue Begins by George Bradley//178005
Water,North by Seamus Heaney//178021
Water,Requiem for the Plantagenet Kings by Geoffrey Hill//178122
Water,On Quaking Bog by Ben Belitt//178205
Water,A Boat by Richard Brautigan//178296
Water,Night Images by Robert Fitzgerald//178374
Water,The Shore of Life by Robert Fitzgerald//178378
Water,from Stops Along the Western Bank of the Missouri River: Of the River Itself by Michael Anania//178465
Water,Why the Pretty One by Richard Emil Braun//178497
Water,Poetry by Arthur Davison Ficke//1785
Water,from The Exeter Book:  Gnomic Verses by Anonymous//178511
Water,The Room in Which My First Child Slept by Eavan Boland//178661
Water,On the Beach at Night Alone by Walt Whitman//178707
Water,Out of the Cradle Endlessly Rocking by Walt Whitman//178710
Water,Country of the Proud by Leonie Adams//178825
Water,The Figurehead by Leonie Adams//178829
Water,The Quaker Graveyard in Nantucket by Robert Lowell//178941
Water,Common Janthina by Tatiana Ziglar//179000
Water,On the Island by Lawrence Raab//179025
Water,The River at Wolf by Jean Valentine//179223
Water,A Poem That Starts Out Wrong by Landis Everson//179400
Water,Ode to a Large Tuna in the Market by Pablo Neruda//179412
Water,The New Noah by Adonis//179413
Water,Ah, Ah by Joy Harjo//179780
Water,Late March by Edward Hirsch//179810
Water,Alberto by Warren Woessner//179857
Water,The Rejection by Elizabeth McFarland//180060
Water,Reading a Memoir at Cedar Island by Nicole Pekarske//180177
Water,Easy as Falling Down Stairs by Dean Young//180178
Water,Undertow by Dean Young//180179
Water,And Soul by Eavan Boland//180327
Water,Clotilde by Guillaume Apollinaire//180366
Water,The Boundary by Bei Dao//180386
Water,Sand Flesh and Sky by Clarence Major//180518
Water,The Red Sea by Stephen Edgar//180533
Water,Man of War by Carol Frost//180539
Water,Argonaut's Vow by Carol Frost//180540
Water,An Afternoon at the Beach by Edgar Bowers//18063
Water,from The Sleepers by Walt Whitman//180825
Water,A Prospect of Heaven Makes Death Easy by Isaac Watts//180937
Water,The Bells of San Blas by Henry Wadsworth Longfellow//180984
Water,Full Fathom by Jorie Graham//181122
Water,Night Ferry by Peter Sacks//181137
Water,Lemnos by Karl Kirchwey//181177
Water,Privacy by C. D. Wright//181418
Water,The Sea Chews Things Up by Cleopatra Mathis//181429
Water,The Sea Shell by Marin Sorescu//181438
Water,The River by Gregory Orr//181533
Water,The Pond by Gregory Orr//181537
Water,For Edwin Wilson by A. R. Ammons//181583
Water,Trout by Kathryn Starbuck//181700
Water,Night Dive by Samuel Green//181754
Water,Little Black Tangrams by Dara Wier//181830
Water,The Batture by Dara Wier//181833
Water,How Beautiful by Mary Jo Bang//181965
Water,Concord Hymn by Jack Spicer//181967
Water,The Diving Apprentices by Christopher Middleton//181972
Water,Words from Confinement by Cesare Pavese//181995
Water,The Magus by C. Dale Young//182036
Water,A Graveyard by Marianne Moore//182085
Water,Tide of Voices by Lynda Hull//182102
Water,Nether by Leila Wilson//182105
Water,Father, Child, Water by Gary Dop//182138
Water,Rivers into Seas by Lynda Hull//182187
Water,Night Without Sleep by Robinson Jeffers//182213
Water,In the Drink by John Hennessy//182262
Water,A Good Fish by Derek Sheffield//182265
Water,Night Piece by Juan Ramon Jimenez//182340
Water,Our Valley by Philip Levine//182386
Water,Murray Dreaming by Stephen Edgar//182395
Water,Fences by Pat Mora//182465
Water,River by Sherwin Bitsui//182473
Water,A Song by Helen Maria Williams//182494
Water,Floating Island by Dorothy Wordsworth//182546
Water,Misgivings by Herman Melville//182550
Water,Long Island Sound by Emma Lazarus//182740
Water,An Ocean Musing by Henrietta Cordelia Ray//182742
Water,Down Stream by Louise Imogen Guiney//182759
Water,Inscrutable Twist by Anne Pierson Wiese//182772
Water,At the Fishhouses by Elizabeth Bishop//182896
Water,Swells by A. R. Ammons//182927
Water,Island (#2) by Yang Lian//185167
Water,Song by Brenda Cardenas//185637
Water,from The Bridge: Cutty Sark by Hart Crane//188393
Water,Sea-Wash by Carl Sandburg//191477
Water,Fabliau of Florida by Wallace Stevens//191634
Water,Davy Jones' Door-Bell by Vachel Lindsay//191699
Water,Magic by Louis Untermeyer//192379
Water,Shoreline by Mary Barnard//196019
Water,Ondine by Mary Barnard//196052
Water,The Harbor by Carl Sandburg//2045
Water,Lost by Carl Sandburg//2048
Water,Arroyo: Flash Flood by John Unterecker//213238
Water,The Odd Last Thing She Did by Brad Leithauser//215913
Water,Fishing by A. E. Stallings//215981
Water,Seaweeds by Sandra McPherson//21629
Water,Landscape Survey by John Brehm//216346
Water,Color in American History: An Essay by Tom Disch//216664
Water,Prehistoric by Claire Malroux//216750
Water,Arrowhead by Robert Pack//216821
Water,Willowspout by R. T. Smith//216913
Water,Minor Poet by Bill Sweeney//217166
Water,At Popham Beach by Thorpe Moeckel//217191
Water,Song of the Sea to the Shore by Robert Fanning//217273
Water,Song of the Shore to the Sea by Robert Fanning//217274
Water,The Lake by Sophie Cabot Black//217444
Water,Breakage by Mary Oliver//217641
Water,Repulsive Theory by Kay Ryan//217738
Water,A Cave of Angelfish Huddle Against the Moon by Ron De Maris//217746
Water,Map by Atsuro Riley//217821
Water,The Pool by H. D.//2259
Water,Walking the Dunes by Brenda Hillman//22871
Water,from Light: Blue Poles by Inger Christensen//236648
Water,Disenchantment Bay by Timothy Murphy//236850
Water,From the Wave by Thom Gunn//236926
Water,A River by John Poch//236988
Water,Poem by the Charles River by Robin Blaser//237122
Water,Bermudas by Kamau Brathwaite//237226
Water,Sustenance by Ronald Wallace//237306
Water,Subway Wind by Claude McKay//237356
Water,Wind In Mytilene by Eloise Klein Healy//237430
Water,Exegesis of the First Words Spoken (Ishmael) by Dan Beachy-Quick//237562
Water,Moby Dick by Dan Beachy-Quick//237564
Water,Ishmael, or The Orphan by Dan Beachy-Quick//237566
Water,The Story of Light by Peggy Shumaker//237596
Water,Poem to the Detroit River by Terry Wolverton//237610
Water,Manifest by Reginald Shepherd//237698
Water,The Ash Bringer by W. S. Di Piero//237710
Water,The Beach in August by Weldon Kees//237984
Water,Light Night by James Schuyler//237990
Water,Plumblossom by Eric Ekstrand//238027
Water,Flowers by the Sea by William Carlos Williams//238104
Water,Darkling Summer, Ominous Dusk, Rumorous Rain by Delmore Schwartz//238112
Water,Shipwreck in Haven, Part Four by Keith Waldrop//238362
Water,Some San Francisco Poems: Sections 1-4 by George Oppen//238528
Water,The Wife of Mission Rock by Mary Ruefle//238534
Water,Not Knowing Why by Ann Struthers//238542
Water,In Memoriam by Leopold Sedar Senghor//238774
Water,When All Hands Were Called to Make Sail by Rachel Zucker//238782
Water,The Gulf of California by Anita Endrezze//238970
Water,Son of Msippi by Henry Dumas//239060
Water,The Word by Emily Warn//239112
Water,The World as It is by Carolyn Miller//239320
Water,Dream Carp by Lee Ann Roripaugh//239394
Water,Snowy Owl Near Ocean Shores by Duane Niatum//239710
Water,The Child on the Cliffs by Edward Thomas//239750
Water,The Brook by Edward Thomas//239752
Water,Painting A Wave by Howard Moss//239760
Water,The Lie by Howard Moss//239764
Water,Water Island by Howard Moss//239768
Water,The Pike by Amy Lowell//239800
Water,Genealogy by Jennifer Chang//239858
Water,Catalina Eddies by Diana Garcia//240034
Water,Photo of a Girl on a Beach by Carmen Gimenez Smith//240042
Water,An Institute Is Closing by Ish Klein//240080
Water,Tonawanda Swamps by James Thomas Stevens//240138
Water,Cod by Cheryl Savageau//240146
Water,Almost Ashore by Gerald Vizenor//240164
Water,Sea-Heroes by H. D.//240268
Water,He Who Loved Beauty by Alec Brock Stevenson//240338
Water,The Prophecies of Paracelsus by Nick Lantz//240420
Water,What We Know of Death by Drowning by Nick Lantz//240422
Water,Words Written Near a Candle by Tess Gallagher//240430
Water,Woman as a River Between Borders by Sheryl Luna//240466
Water,River Ghost by Sheryl Luna//240468
Water,Lundu by Jay Wright//240594
Water,Infanta Marina by Wallace Stevens//240846
Water,Indian River by Wallace Stevens//240852
Water,To His Own Device by Timothy Donnelly//241024
Water,Congregations by Omar Perez//241062
Water,The Flowers by Stephane Mallarme//241184
Water,Against Gregariousness by Clive James//241248
Water,My Voice by Rafael Campo//241382
Water,Night Dive by Peggy Shumaker//241396
Water,Hunting the Cotaco Creek by Charles Ghigna//241474
Water,Orange Berries Dark Green Leaves by John Taggart//241486
Water,Into the Mud by Joyce Sidman//241886
Water,Fly, Dragonfly! by Joyce Sidman//241892
Water,The Unquarried Blue of Those Depths Is All But Blinding by Ashley Anna McHugh//241964
Water,A Low Bank of Cloud by Ed Roberson//242234
Water,Out at Lanesville by David Ferry//242306
Water,Hunger Moon by Jane Cooper//242454
Water,The Watchers by William Stanley Braithwaite//242542
Water,Sea Fever by John Masefield//242552
Water,The Crystal in Tamalpais by Joanne Kyger//242596
Water,Wave Trough by Robert Fernandez//242606
Water,Playa Colorada by Peg Boyers//242762
Water,The End of Landscape by Randall Mann//242772
Water,To Ireland, To Bethlehem by Connie Voisine//242778
Water,Watch by Greg Miller//242808
Water,Birdsong by Joanie Mackowski//242824
Water,Minnows 2 by Ray Amorosi//242846
Water,Eclogues by Mark Tredinnick//242932
Water,Red Moon Eclogues by Mark Tredinnick//242936
Water,The Far West by Tim Dlugos//242990
Water,Very like a Whale by Brook Emery//243022
Water,The Darker Sooner by Catherine Wing//243034
Water,Night Song of the Los Angeles Basin by Gary Snyder//243090
Water,Among the Gorgons by Michelle Boisseau//243190
Water,Lost to View by Stephen Edgar//243218
Water,The Snow-Shower by William Cullen Bryant//243334
Water,Becoming Anne Bradstreet by Eavan Boland//243448
Water,Strange Sea by Edith Sodergran//243598
Water,Islands by Yusef Komunyakaa//243762
Water,Wreaths by Geoffrey Hill//243808
Water,The Fetch by CiarA!n Carson//244056
Water,[In the very night of movement where I] by E. Tracy Grinnell//244076
Water,The Song of Wandering Aengus by William Butler Yeats//244302
Water,Two by Linda Hogan//244368
Water,Time Zones by Victor Hernandez Cruz//244398
Water,Wobbly Rock by Lew Welch//244554
Water,The Span by Elizabeth Seydel Morgan//244596
Water,[She goes, she is, she wakes the waters] by Karen Volkman//244678
Water,Conduct by Samuel Greenberg//244822
Water,The Glass Bubbles by Samuel Greenberg//244824
Water,The Picket-Guard by Ethelinda Beers//244830
Water,Anaerobe by Richard Kenney//244938
Water,At the End of My Hours by Dana Levin//244958
Water,Filicudi by Eliza Griswold//245236
Water,Dolphins at Seven Weeks by Rachel Jamison Webster//245376
Water,Sea Foam Palace by Amy Gerstler//245396
Water,Woman Watches Ocean on a Reef through a Glass-Bottomed Boat by Angela Jackson//245572
Water,The Long Evenings of Their Leavetakings by Eavan Boland//245712
Water,Northampton Style by Marie Ponsot//245896
Villanelle,One Art by Elizabeth Bishop//176996
Villanelle,Grand Central, Track 23 by Elizabeth Skurnick//185677
Villanelle,Sugar Dada by J. Allyn Rosser//216842
Villanelle,During the Service by Carrie Grabo//217017
Villanelle,Order by Linda Kunhardt//239260
Villanelle,After a Greek Proverb by A. E. Stallings//243216
Villanelle,September 2011 by Elizabeth Seydel Morgan//244598
Villanelle,After the Auction, I Bid You Good-Bye by Aimee Nezhukumatathil//245524
Philosophy,Part for the Whole by Robert Francis//13390
Philosophy,Little God Origami by Stefi Weisburd//146677
Philosophy,The Herdsman by Alberto Caeiro//15988
Philosophy,The Giant Yea by Theodore Weiss//16342
Philosophy,Narcissus by Delmore Schwartz//171350
Philosophy,Toward an Organic Philosophy by Kenneth Rexroth//171533
Philosophy,Unholy Sonnet 4 by Mark Jarman//171669
Philosophy,Philosophia Perennis by Anne Waldman//171777
Philosophy,Self-Employed by David Ignatow//172188
Philosophy,The Idea of Order at Key West by Wallace Stevens//172206
Philosophy,The Buried Life by Matthew Arnold//172841
Philosophy,Memorial Verses April 1850 by Matthew Arnold//172850
Philosophy,Obermann Once More by Matthew Arnold//172853
Philosophy,Rugby Chapel by Matthew Arnold//172857
Philosophy,Self-Dependence by Matthew Arnold//172858
Philosophy,Worldly Place by Matthew Arnold//172866
Philosophy,Youth and Calm by Matthew Arnold//172867
Philosophy,The Day of Wrath / Dies Irae by Ambrose Bierce//172900
Philosophy,Auguries of Innocence by William Blake//172906
Philosophy,The Book of Thel by William Blake//172907
Philosophy,The Clod and the Pebble by William Blake//172911
Philosophy,The Divine Image by William Blake//172912
Philosophy,Earth's Answer by William Blake//172913
Philosophy,The Lamb by William Blake//172926
Philosophy,Mad Song by William Blake//172930
Philosophy,The Tyger by William Blake//172943
Philosophy,A Tale by Louise Bogan//172948
Philosophy,Contemplations by Anne Bradstreet//172955
Philosophy,The Four Ages of Man by Anne Bradstreet//172958
Philosophy,Prologue by Anne Bradstreet//172961
Philosophy,The night is darkening round me by Emily Bronte//172967
Philosophy,No Coward Soul Is Mine by Emily Bronte//172968
Philosophy,Abt Vogler by Robert Browning//172999
Philosophy,Caliban upon Setebos by Robert Browning//173004
Philosophy,Cleon by Robert Browning//173005
Philosophy,An Epistle Containing the Strange Medical Experience of Karshish, the Arab Physician by Robert Browning//173010
Philosophy,Fra Lippo Lippi by Robert Browning//173011
Philosophy,Care for Thy Soul as Thing of Greatest Price by William Byrd//173077
Philosophy,from Troilus and Criseyde: Book I by Geoffrey Chaucer//173193
Philosophy,from Troilus and Criseyde: Book V by Geoffrey Chaucer//173195
Philosophy,Constancy to an Ideal Object by Samuel Taylor Coleridge//173228
Philosophy,from The Task, Book V: The Winter Morning Walk by William Cowper//173294
Philosophy,An Anatomy of the World by John Donne//173348
Philosophy,The Calm by John Donne//173352
Philosophy,Written in her French Psalter by Queen Elizabeth I//173482
Philosophy,In Defiance of Fortune by Queen Elizabeth I//173484
Philosophy,Fire and Ice by Robert Frost//173527
Philosophy,For Once, Then, Something by Robert Frost//173528
Philosophy,The Star-splitter by Robert Frost//173537
Philosophy,Love (I) by George Herbert//173630
Philosophy,Man by George Herbert//173633
Philosophy,The Temper (I) by George Herbert//173639
Philosophy,Virtue by George Herbert//173640
Philosophy,Duns Scotus's Oxford by Gerard Manley Hopkins//173658
Philosophy,from The Vanity of Human Wishes by Samuel Johnson//173713
Philosophy,Dying Speech of an Old Philosopher by Walter Savage Landor//173827
Philosophy,Meditation under Stars by George Meredith//173968
Philosophy,Il Penseroso by John Milton//173998
Philosophy,An Essay on Criticism: Part 1 by Alexander Pope//174162
Philosophy,An Essay on Criticism: Part 2 by Alexander Pope//174163
Philosophy,An Essay on Criticism: Part 3 by Alexander Pope//174164
Philosophy,An Essay on Man: Epistle I by Alexander Pope//174165
Philosophy,An Essay on Man: Epistle II by Alexander Pope//174166
Philosophy,Octaves by Edwin Arlington Robinson//174246
Philosophy,Dream Land by Christina Rossetti//174261
Philosophy,When I am dead, my dearest by Christina Rossetti//174269
Philosophy,The House of Life: 71. The Choice, I by Dante Gabriel Rossetti//174280
Philosophy,The House of Life: 72. The Choice, II by Dante Gabriel Rossetti//174281
Philosophy,The House of Life: 97. A Superscription by Dante Gabriel Rossetti//174283
Philosophy,Grass by Carl Sandburg//174301
Philosophy,Hymn to Intellectual Beauty by Percy Bysshe Shelley//174390
Philosophy,Julian and Maddalo by Percy Bysshe Shelley//174392
Philosophy,Mont Blanc: Lines Written in the Vale of Chamouni by Percy Bysshe Shelley//174397
Philosophy,from Queen Mab: Part VI by Percy Bysshe Shelley//174404
Philosophy,The Triumph of Life by Percy Bysshe Shelley//174410
Philosophy,The Snow Man by Wallace Stevens//174502
Philosophy,Thirteen Ways of Looking at a Blackbird by Wallace Stevens//174503
Philosophy,A Serious and Pathetical Contemplation of the Mercies of God by Thomas Traherne//174683
Philosophy,Walking by Thomas Traherne//174684
Philosophy,The Evening-Watch: A Dialogue by Henry Vaughan//174693
Philosophy,The Star by Henry Vaughan//174698
Philosophy,They are all Gone into the World of Light by Henry Vaughan//174699
Philosophy,The Water-fall by Henry Vaughan//174700
Philosophy,The World by Henry Vaughan//174701
Philosophy,Ah, Silly Pug, wert thou so Sore Afraid by Queen Elizabeth I//174927
Philosophy,Molecular Evolution by James Clerk Maxwell//175047
Philosophy,To the Chief Musician upon Nabla: A Tyndallic Ode by James Clerk Maxwell//175048
Philosophy,A Vision of a Wrangler, of a University, of Pedantry, and of Philosophy by James Clerk Maxwell//175049
Philosophy,Experience by Ralph Waldo Emerson//175139
Philosophy,Fate by Ralph Waldo Emerson//175145
Philosophy,Wet-weather Talk by James Whitcomb Riley//175165
Philosophy,Seth Compton by Edgar Lee Masters//175201
Philosophy,A Divine Image by William Blake//175223
Philosophy,A Psalm of Freudian Life by Franklin Pierce Adams//175253
Philosophy,Whatever Is by Charlotte Anna Perkins Gilman//175336
Philosophy,The Little Walls Before China by A. F. Moritz//175446
Philosophy,On Distinction by A. F. Moritz//175447
Philosophy,VII Mon. September [1742] hath xxx days. by Benjamin Franklin//175552
Philosophy,A Parable by Dr. Arthur Conan Doyle//175570
